Key,symptom,factor_group,factor,translation chinese,translation english,
"knee pain, accompanied by inability to bear weight",Knee pain,Accompanied by,Inability to bear weight,请问您的膝关节痛伴随无法承重吗？,Does your knee joint pain come with an inability to bear weight?,
"knee pain, accompanied by joint weakness",Knee pain,Accompanied by,Joint weakness,请问您的膝关节痛伴随关节无力吗？,Does your knee joint pain come with joint weakness?,
"knee pain, accompanied by locking or catching",Knee pain,Accompanied by,Locking or catching,请问您的膝关节痛伴随锁定或卡住感吗？,Does your knee joint pain come with a locking or catching sensation?,
"knee pain, accompanied by popping or snapping",Knee pain,Accompanied by,Popping or snapping,请问您的膝关节痛伴随响声或咔哒声吗？,Does your knee joint pain come with popping or clicking sounds?,
"knee pain, accompanied by skin redness",Knee pain,Accompanied by,Skin redness,请问您的膝关节痛伴随皮肤红热吗？,Does your knee joint pain come with redness and warmth of the skin?,
"knee pain, accompanied by stiffness",Knee pain,Accompanied by,Stiffness,请问您的膝关节痛伴随僵硬吗？,Does your knee joint pain come with stiffness?,
"knee pain, accompanied by swelling",Knee pain,Accompanied by,Swelling,请问您的膝关节痛伴随肿胀吗？,Does your knee joint pain come with swelling?,
"knee pain, accompanied by warmth to touch",Knee pain,Accompanied by,Warmth to touch,请问您的膝关节痛伴随触感热吗？,Does your knee joint pain come with warmth to the touch?,
"low back pain, pain began suddenly",Low back pain,Pain,Began suddenly,请问您的下背部痛是突然开始的吗？,Did your lower back pain start suddenly?,
"low back pain, pain gradually worsens",Low back pain,Pain,Gradually worsens,请问您的下背部痛是逐渐恶化的吗？,Is your lower back pain progressively getting worse?,
"low back pain, pain started gradually",Low back pain,Pain,Started gradually,请问您的下背部痛是逐渐开始的吗？,Did your lower back pain start gradually?,
"low back pain, triggered by everyday activities",Low back pain,Triggered by,Everyday activities,请问您的下背部痛是因日常活动引起的吗？,Is your lower back pain due to everyday activities?,
"low back pain, triggered by injury",Low back pain,Triggered by,Injury,请问您的下背部痛是因受伤引起的吗？,Is your lower back pain due to an injury?,
"low back pain, triggered by overuse",Low back pain,Triggered by,Overuse,请问您的下背部痛是因使用过度引起的吗？,Is your lower back pain due to overuse?,
"low back pain, worsened by movement",Low back pain,Worsened by,Movement,请问您的下背部痛因运动而加剧吗？,Does your lower back pain worsen with exercise?,
"low back pain, worsened by prolonged rest or inactivity",Low back pain,Worsened by,Prolonged rest or inactivity,请问您的下背部痛因长时间休息或不活动而加剧吗？,Does your lower back pain worsen with prolonged rest or inactivity?,
"low back pain, worsened by prolonged sitting or standing",Low back pain,Worsened by,Prolonged sitting or standing,请问您的下背部痛因长时间站立或坐着而加剧吗？,Does your lower back pain worsen with prolonged standing or sitting?,
"low back pain, accompanied by decreased range of motion or stiffness in neck",Low back pain,Accompanied by,Decreased range of motion or stiffness in neck,请问您的下背部痛伴随颈部活动范围减少或僵硬吗？,Does your lower back pain accompany a reduced range of motion or stiffness in the neck?,
"low back pain, accompanied by knot or tight spot in back muscle",Low back pain,Accompanied by,Knot or tight spot in back muscle,请问您的下背部痛伴随背肌中的结或紧绷感吗？,Does your lower back pain come with knots or tightness in the back muscles?,
"low back pain, accompanied by loss of balance or coordination",Low back pain,Accompanied by,Loss of balance or coordination,请问您的下背部痛伴随平衡或协调能力丧失吗？,Does your lower back pain come with a loss of balance or coordination?,
"low back pain, accompanied by loss of bowel or bladder control",Low back pain,Accompanied by,Loss of bowel or bladder control,请问您的下背部痛伴随肠膀胱控制能力丧失吗？,Does your lower back pain come with a loss of bowel or bladder control?,
"low back pain, accompanied by muscle weakness",Low back pain,Accompanied by,Muscle weakness,请问您的下背部痛伴随肌肉无力吗？,Does your lower back pain come with muscle weakness?,
"low back pain, accompanied by numbness or tingling in limbs, most often on both sides of the body (bilateral)",Low back pain,Accompanied by,"Numbness or tingling in limbs, most often on both sides of the body (bilateral)",请问您的下背部痛伴随双侧肢体麻木或刺痛吗？,Does your lower back pain come with numbness or tingling in both legs?,
"low back pain, accompanied by numbness or tingling in limbs, most often on one side of the body (unilateral)",Low back pain,Accompanied by,"Numbness or tingling in limbs, most often on one side of the body (unilateral)",请问您的下背部痛伴随单侧肢体麻木或刺痛吗？,Does your lower back pain come with numbness or tingling in one leg?,
"low back pain, accompanied by shoulder, arm or chest pain",Low back pain,Accompanied by,"Shoulder, arm or chest pain",请问您的下背部痛伴随肩部、臂部或胸部疼痛吗？,"Does your lower back pain come with pain in the shoulders, arms, or chest?",
"low back pain, accompanied by stiffness in lower back",Low back pain,Accompanied by,Stiffness in lower back,请问您的下背部痛伴随下背部僵硬吗？,Does your lower back pain come with stiffness in the lower back?,
"low back pain, accompanied by swelling",Low back pain,Accompanied by,Swelling,请问您的下背部痛伴随肿胀吗？,Does your lower back pain come with swelling?,
"low back pain, accompanied by weakness, numbness or tingling in leg or foot",Low back pain,Accompanied by,"Weakness, numbness or tingling in leg or foot",请问您的下背部痛伴随腿部或脚部的无力、麻木或刺痛吗？,"Does your lower back pain come with weakness, numbness, or tingling in the legs or feet?",
"nasal congestion, nasal congestion is new or recent",Nasal congestion,Nasal congestion is,New or recent,请问您的鼻塞是新近出现的吗？,Is your nasal congestion a recent occurrence?,
"nasal congestion, nasal congestion is ongoing or persistent",Nasal congestion,Nasal congestion is,Ongoing or persistent,请问您的鼻塞持续存在吗？,Is your nasal congestion persistent?,
"nasal congestion, nasal discharge is clear or watery",Nasal congestion,Nasal discharge is,Clear or watery,请问您的鼻塞有清水样或稀薄的鼻涕吗？,Does your nasal congestion come with clear or thin nasal discharge?,
"nasal congestion, nasal discharge is yellow or greenish",Nasal congestion,Nasal discharge is,Yellow or greenish,请问您的鼻塞有黄色或绿色的鼻涕吗？,Does your nasal congestion come with yellow or green nasal discharge?,
"nasal congestion, accompanied by bad breath",Nasal congestion,Accompanied by,Bad breath,请问您的鼻塞有伴随口臭吗？,Does your nasal congestion accompany bad breath?,
"nasal congestion, accompanied by cough",Nasal congestion,Accompanied by,Cough,请问您的鼻塞伴随咳嗽吗？,Does your nasal congestion come with a cough?,
"nasal congestion, accompanied by ear pain",Nasal congestion,Accompanied by,Ear pain,请问您的鼻塞伴随耳痛吗？,Does your nasal congestion come with ear pain?,
"nasal congestion, accompanied by fatigue",Nasal congestion,Accompanied by,Fatigue,请问您的鼻塞伴随疲劳感吗？,Does your nasal congestion come with fatigue?,
"nasal congestion, accompanied by fever",Nasal congestion,Accompanied by,Fever,请问您的鼻塞伴随发热吗？,Does your nasal congestion come with a fever?,
"nasal congestion, accompanied by headache or facial pain",Nasal congestion,Accompanied by,Headache or facial pain,请问您的鼻塞伴随头痛或面部疼痛吗？,Does your nasal congestion come with a headache or facial pain?,
"nasal congestion, accompanied by itchy eyes, nose, mouth or throat",Nasal congestion,Accompanied by,"Itchy eyes, nose, mouth or throat",请问您的鼻塞伴随眼、鼻、嘴或喉咙瘙痒吗？,"Does your nasal congestion come with itching in the eyes, nose, mouth, or throat?",
"nasal congestion, accompanied by mild body aches",Nasal congestion,Accompanied by,Mild body aches,请问您的鼻塞伴随轻微身体疼痛吗？,Does your nasal congestion come with mild body aches?,
"nasal congestion, accompanied by nosebleeds",Nasal congestion,Accompanied by,Nosebleeds,请问您的鼻塞伴随鼻出血吗？,Does your nasal congestion come with nosebleeds?,
"nasal congestion, accompanied by reduced sense of smell or taste",Nasal congestion,Accompanied by,Reduced sense of smell or taste,请问您的鼻塞伴随嗅觉或味觉减退吗？,Does your nasal congestion come with a reduced sense of smell or taste?,
"nasal congestion, accompanied by runny nose",Nasal congestion,Accompanied by,Runny nose,请问您的鼻塞伴随流鼻涕吗？,Does your nasal congestion come with a runny nose?,
"nasal congestion, accompanied by sneezing",Nasal congestion,Accompanied by,Sneezing,请问您的鼻塞伴随打喷嚏吗？,Does your nasal congestion come with sneezing?,
"nasal congestion, accompanied by snoring",Nasal congestion,Accompanied by,Snoring,请问您的鼻塞伴随打鼾吗？,Does your nasal congestion come with snoring?,
"nasal congestion, accompanied by sore throat",Nasal congestion,Accompanied by,Sore throat,请问您的鼻塞伴随喉咙痛吗？,Does your nasal congestion come with a sore throat?,
"nasal congestion, accompanied by upper jaw or tooth pain",Nasal congestion,Accompanied by,Upper jaw or tooth pain,请问您的鼻塞伴随上颚或牙痛吗？,Does your nasal congestion come with pain in the upper jaw or teeth?,
"nasal congestion, accompanied by watery eyes",Nasal congestion,Accompanied by,Watery eyes,请问您的鼻塞伴随流泪吗？,Does your nasal congestion come with tearing?,
"nausea or vomiting, triggered or worsened by drinking alcohol",Nausea or vomiting,Triggered or worsened by,Drinking alcohol,请问您是饮酒后有恶心或呕吐的情况吗？,Do you experience nausea or vomiting after drinking alcohol?,
"nausea or vomiting, triggered or worsened by eating certain foods",Nausea or vomiting,Triggered or worsened by,Eating certain foods,请问您是吃了某些食物后有恶心或呕吐吗？,Do you experience nausea or vomiting after eating certain foods?,
"nausea or vomiting, triggered or worsened by stress",Nausea or vomiting,Triggered or worsened by,Stress,请问您是在压力下有恶心或呕吐的情况吗？,Do you experience nausea or vomiting when under stress?,
"nausea or vomiting, triggered or worsened by travel or motion",Nausea or vomiting,Triggered or worsened by,Travel or motion,请问您是在旅行或移动时有恶心或呕吐吗？,Do you experience nausea or vomiting while traveling or moving?,
"nausea or vomiting, onset is intermittent or episodic",Nausea or vomiting,Onset is,Intermittent or episodic,请问您的恶心或呕吐是间歇性或偶发的吗？,Is your nausea or vomiting intermittent or sporadic?,
"nausea or vomiting, onset is recent (few hours)",Nausea or vomiting,Onset is,Recent (few hours),请问您是最近几小时内有恶心或呕吐的情况吗？,Have you experienced nausea or vomiting in the last few hours?,
"nausea or vomiting, onset is recent (hours to days)",Nausea or vomiting,Onset is,Recent (hours to days),请问您是在过去几小时到几天内有恶心或呕吐吗？,Have you experienced nausea or vomiting in the past few hours to days?,
"nausea or vomiting, onset is sudden (minutes to hours)",Nausea or vomiting,Onset is,Sudden (minutes to hours),请问您是突然出现的恶心或呕吐吗？,Is your nausea or vomiting sudden in onset?,
"nausea or vomiting, accompanied by abdominal bloating or swelling",Nausea or vomiting,Accompanied by,Abdominal bloating or swelling,请问您的恶心或呕吐伴有腹部膨胀或肿胀吗？,Is your nausea or vomiting accompanied by abdominal bloating or swelling?,
"nausea or vomiting, accompanied by abdominal pain, discomfort or cramps",Nausea or vomiting,Accompanied by,"Abdominal pain, discomfort or cramps",请问您的恶心或呕吐伴有腹痛、不适或痉挛吗？,"Is your nausea or vomiting accompanied by abdominal pain, discomfort, or cramps?",
"nausea or vomiting, accompanied by anxiety",Nausea or vomiting,Accompanied by,Anxiety,请问您的恶心或呕吐伴有焦虑吗？,Is your nausea or vomiting accompanied by anxiety?,
"nausea or vomiting, accompanied by black or bloody stools",Nausea or vomiting,Accompanied by,Black or bloody stools,请问您的恶心或呕吐伴有黑色或血便吗？,Is your nausea or vomiting accompanied by black or bloody stools?,
"nausea or vomiting, accompanied by chest pain or tightness",Nausea or vomiting,Accompanied by,Chest pain or tightness,请问您的恶心或呕吐伴有胸痛或胸闷吗？,Is your nausea or vomiting accompanied by chest pain or tightness?,
"nausea or vomiting, accompanied by constipation",Nausea or vomiting,Accompanied by,Constipation,请问您的恶心或呕吐伴有便秘吗？,Is your nausea or vomiting accompanied by constipation?,
"nausea or vomiting, accompanied by diarrhea",Nausea or vomiting,Accompanied by,Diarrhea,请问您的恶心或呕吐伴有腹泻吗？,Is your nausea or vomiting accompanied by diarrhea?,
"nausea or vomiting, accompanied by difficulty breathing",Nausea or vomiting,Accompanied by,Difficulty breathing,请问您的恶心或呕吐伴有呼吸困难吗？,Is your nausea or vomiting accompanied by difficulty breathing?,
"nausea or vomiting, accompanied by dizziness or fainting",Nausea or vomiting,Accompanied by,Dizziness or fainting,请问您的恶心或呕吐伴有眩晕或晕厥吗？,Is your nausea or vomiting accompanied by dizziness or fainting?,
"nausea or vomiting, accompanied by feeling of fullness after eating small amounts of food",Nausea or vomiting,Accompanied by,Feeling of fullness after eating small amounts of food,请问您的恶心或呕吐伴有吃少量食物后感到饱胀吗？,Is your nausea or vomiting accompanied by feeling full after eating a small amount?,
"nausea or vomiting, accompanied by fever",Nausea or vomiting,Accompanied by,Fever,请问您的恶心或呕吐伴有发热吗？,Is your nausea or vomiting accompanied by fever?,
"nausea or vomiting, accompanied by headache",Nausea or vomiting,Accompanied by,Headache,请问您的恶心或呕吐伴有头痛吗？,Is your nausea or vomiting accompanied by headache?,
"nausea or vomiting, accompanied by heartburn",Nausea or vomiting,Accompanied by,Heartburn,请问您的恶心或呕吐伴有烧心的感觉吗？,Is your nausea or vomiting accompanied by a burning sensation?,
"nausea or vomiting, accompanied by irregular or rapid heartbeat",Nausea or vomiting,Accompanied by,Irregular or rapid heartbeat,请问您的恶心或呕吐伴有心跳不规则或加速吗？,Is your nausea or vomiting accompanied by irregular or rapid heartbeat?,
"nausea or vomiting, accompanied by sweating",Nausea or vomiting,Accompanied by,Sweating,请问您的恶心或呕吐伴有出汗吗？,Is your nausea or vomiting accompanied by sweating?,
"nausea or vomiting, accompanied by unintended weight loss",Nausea or vomiting,Accompanied by,Unintended weight loss,请问您的恶心或呕吐伴有无意的体重减轻吗？,Is your nausea or vomiting accompanied by unintentional weight loss?,
"neck pain, pain started gradually",Neck pain,Pain started,Gradually,请问您的颈痛是逐渐出现的吗？,Did your neck pain develop gradually?,
"neck pain, pain started suddenly",Neck pain,Pain started,Suddenly,请问您的颈痛是突然出现的吗？,Did your neck pain appear suddenly?,
"neck pain, triggered or worsened by injury",Neck pain,Triggered or worsened by,Injury,请问您的颈痛是因为受伤而引起或加重的吗？,Is your neck pain caused or worsened by an injury?,
"neck pain, triggered or worsened by physical exertion",Neck pain,Triggered or worsened by,Physical exertion,请问您的颈痛是因为体力劳动而引起或加重的吗？,Is your neck pain caused or worsened by physical labor?,
"neck pain, triggered or worsened by poor posture",Neck pain,Triggered or worsened by,Poor posture,请问您的颈痛是因为不良姿势而引起或加重的吗？,Is your neck pain caused or worsened by poor posture?,
"neck pain, triggered or worsened by stress",Neck pain,Triggered or worsened by,Stress,请问您的颈痛是因为压力而引起或加重的吗？,Is your neck pain caused or worsened by stress?,
"neck pain, accompanied by decreased range of motion or stiffness in neck",Neck pain,Accompanied by,Decreased range of motion or stiffness in neck,请问您的颈痛伴有颈部活动范围减少或僵硬吗？,Is your neck pain accompanied by reduced range of motion or stiffness?,
"neck pain, accompanied by headache",Neck pain,Accompanied by,Headache,请问您的颈痛伴有头痛吗？,Is your neck pain accompanied by a headache?,
"neck pain, accompanied by loss of balance or coordination",Neck pain,Accompanied by,Loss of balance or coordination,请问您的颈痛伴有平衡或协调丧失吗？,Is your neck pain accompanied by loss of balance or coordination?,
"neck pain, accompanied by loss of bowel or bladder control",Neck pain,Accompanied by,Loss of bowel or bladder control,请问您的颈痛伴有肠膀胱控制失去吗？,Is your neck pain accompanied by loss of bowel or bladder control?,
"neck pain, accompanied by muscle weakness",Neck pain,Accompanied by,Muscle weakness,请问您的颈痛伴有肌肉无力吗？,Is your neck pain accompanied by muscle weakness?,
"neck pain, accompanied by numbness or tingling in limbs",Neck pain,Accompanied by,Numbness or tingling in limbs,请问您的颈痛伴有四肢麻木或刺痛吗？,Is your neck pain accompanied by numbness or tingling in the limbs?,
"neck pain, accompanied by shoulder, arm or chest pain",Neck pain,Accompanied by,"Shoulder, arm or chest pain",请问您的颈痛伴有肩部、臂部或胸部疼痛吗？,"Is your neck pain accompanied by shoulder, arm, or chest pain?",
"numbness or tingling in hands, numbness or tingling affects your fingers or hand",Numbness or tingling in hands,Numbness or tingling,Affects your fingers or hand,请问您的麻木或刺痛感影响到了手指吗？,Does your numbness or tingling affect your fingers?,
"numbness or tingling in hands, numbness or tingling is intermittent",Numbness or tingling in hands,Numbness or tingling,Is intermittent,请问您的手部麻木或刺痛是间歇性的吗？,Is your hand numbness or tingling intermittent?,
"numbness or tingling in hands, numbness or tingling started gradually",Numbness or tingling in hands,Numbness or tingling,Started gradually,请问您的手部麻木或刺痛是逐渐出现的吗？,Did your hand numbness or tingling develop gradually?,
"numbness or tingling in hands, numbness or tingling wakes you up at night",Numbness or tingling in hands,Numbness or tingling,Wakes you up at night,请问您的手部麻木或刺痛会在夜间唤醒您吗？,Does your hand numbness or tingling wake you up at night?,
"numbness or tingling in hands, triggered by being in one position for a long time",Numbness or tingling in hands,Triggered by,Being in one position for a long time,请问长时间保持一个姿势会引起您的手部麻木或刺痛吗？,Does maintaining a position for a long time cause your hand numbness or tingling?,
"numbness or tingling in hands, triggered by repetitive use",Numbness or tingling in hands,Triggered by,Repetitive use,请问重复使用手部会引起您的麻木或刺痛吗？,Does repetitive use of your hand cause numbness or tingling?,
"numbness or tingling in hands, relieved by rest",Numbness or tingling in hands,Relieved by,Rest,请问休息会缓解您的手部麻木或刺痛吗？,Does rest alleviate your hand numbness or tingling?,
"numbness or tingling in hands, worsened by sleep",Numbness or tingling in hands,Worsened by,Sleep,请问睡眠会加重您的手部麻木或刺痛吗？,Does sleep worsen your hand numbness or tingling?,
"numbness or tingling in hands, accompanied by arm or hand pain",Numbness or tingling in hands,Accompanied by,Arm or hand pain,请问您的手部麻木或刺痛伴有手臂或手疼痛吗？,Is your hand numbness or tingling accompanied by arm or hand pain?,
"numbness or tingling in hands, accompanied by arm or hand weakness",Numbness or tingling in hands,Accompanied by,Arm or hand weakness,请问您的手部麻木或刺痛伴有手臂或手无力吗？,Is your hand numbness or tingling accompanied by arm or hand weakness?,
"numbness or tingling in hands, accompanied by burning pain",Numbness or tingling in hands,Accompanied by,Burning pain,请问您的手部麻木或刺痛伴有烧灼感疼痛吗？,Is your hand numbness or tingling accompanied by a burning pain?,
"numbness or tingling in hands, accompanied by extreme sensitivity to touch",Numbness or tingling in hands,Accompanied by,Extreme sensitivity to touch,请问您的手部麻木或刺痛伴有对触摸极度敏感吗？,Is your hand numbness or tingling accompanied by extreme sensitivity to touch?,
"numbness or tingling in hands, accompanied by frequent feeling that a foot or hand has ""fallen asleep""",Numbness or tingling in hands,Accompanied by,"Frequent feeling that a foot or hand has ""fallen asleep""",请问您经常感觉到脚或手“睡着”了吗？,"Do you frequently feel that your feet or hands have ""fallen asleep""?",
"numbness or tingling in hands, accompanied by gradual onset of numbness, prickling or tingling in your feet or hands, which can spread upward into your legs and arms",Numbness or tingling in hands,Accompanied by,"Gradual onset of numbness, prickling or tingling in your feet or hands, which can spread upward into your legs and arms",请问您有逐渐出现的脚或手部麻木、刺痛或针刺感，并且可能向上蔓延至腿部或臂部吗？,"Do you have gradually developing numbness, tingling, or a prickling sensation in your feet or hands, possibly extending upward into your legs or arms?",
"numbness or tingling in hands, accompanied by lack of coordination and falling",Numbness or tingling in hands,Accompanied by,Lack of coordination and falling,请问您的手部麻木或刺痛伴有协调性丧失和跌倒吗？,Is your hand numbness or tingling accompanied by loss of coordination and falling?,
"numbness or tingling in hands, accompanied by muscle weakness in the affected area",Numbness or tingling in hands,Accompanied by,Muscle weakness in the affected area,请问您的手部麻木或刺痛伴有受影响区域的肌肉无力吗？,Is your hand numbness or tingling accompanied by muscle weakness in the affected area?,
"numbness or tingling in hands, accompanied by muscle weakness or paralysis",Numbness or tingling in hands,Accompanied by,Muscle weakness or paralysis,请问您的手部麻木或刺痛伴有肌肉无力或瘫痪吗？,Is your hand numbness or tingling accompanied by muscle weakness or paralysis?,
"numbness or tingling in hands, accompanied by numbness or decreased sensation in the area supplied by the nerve",Numbness or tingling in hands,Accompanied by,Numbness or decreased sensation in the area supplied by the nerve,请问您的手部麻木或刺痛伴有感觉减退吗？,Is your hand numbness or tingling accompanied by reduced sensation?,
"numbness or tingling in hands, accompanied by sharp, aching or burning pain, which may radiate outward",Numbness or tingling in hands,Accompanied by,"Sharp, aching or burning pain, which may radiate outward",请问您的手部麻木或刺痛伴有尖锐、疼痛或烧灼感，且可能向外辐射吗？,"Is your hand numbness or tingling accompanied by sharp, painful, or burning sensations, possibly radiating outward?",
"numbness or tingling in hands, accompanied by sharp, jabbing, throbbing, freezing or burning pain",Numbness or tingling in hands,Accompanied by,"Sharp, jabbing, throbbing, freezing or burning pain",请问您的手部麻木或刺痛伴有尖锐、刺痛、跳动、冰冷或灼热的疼痛吗？,"Is your hand numbness or tingling accompanied by sharp, stabbing, throbbing, cold, or burning pain?",
"numbness or tingling in hands, accompanied by tingling, pins and needles sensations (paresthesia)",Numbness or tingling in hands,Accompanied by,"Tingling, pins and needles sensations (paresthesia)",请问您的手部有刺痛、针刺感或麻感吗？,"Do you have tingling, prickling, or numbness in your hands?",
"pelvic pain in adult females, pain best described as beginning suddenly",Pelvic pain in adult females,Pain best described as,Beginning suddenly,请问您的盆腔疼痛是否是突然出现的？,Is your pelvic pain sudden in onset?,
"pelvic pain in adult females, pain best described as cyclical or recurrent",Pelvic pain in adult females,Pain best described as,Cyclical or recurrent,请问您的盆腔疼痛是否有周期性或反复出现？,Is your pelvic pain cyclical or recurrent?,
"pelvic pain in adult females, pain best described as different from usual menstrual cramps",Pelvic pain in adult females,Pain best described as,Different from usual menstrual cramps,请问您的盆腔疼痛是否有与平时经痛不同？,Is your pelvic pain different from your usual menstrual cramps?,
"pelvic pain in adult females, pain best described as dull or achy",Pelvic pain in adult females,Pain best described as,Dull or achy,请问您的盆腔疼痛是否类似于有钝痛或酸痛的感觉？（这种疼痛感觉不尖锐，可能持续存在。）,Does your pelvic pain feel like a dull or aching sensation? (This pain is not sharp and may be persistent.),
"pelvic pain in adult females, pain best described as itching or burning around genitals, buttocks or inner thighs",Pelvic pain in adult females,Pain best described as,"Itching or burning around genitals, buttocks or inner thighs",请问您的盆腔疼痛是否可以描述为生殖器、臀部或大腿内侧有瘙痒或灼烧感？,"Can you describe your pelvic pain as feeling itchy or burning in the genital area, buttocks, or the inside of your thighs?",
"pelvic pain in adult females, pain best described as ongoing",Pelvic pain in adult females,Pain best described as,Ongoing,请问您的盆腔疼痛是否有持续不断？,Is your pelvic pain constant?,
"pelvic pain in adult females, pain best described as sharp or crampy",Pelvic pain in adult females,Pain best described as,Sharp or crampy,请问您的盆腔疼痛是否是尖锐或痉挛性的？（这种疼痛可能非常剧烈，需要立即关注。）,Is your pelvic pain sharp or cramp-like? (This pain may be intense and requires immediate attention.),
"pelvic pain in adult females, worsened by lifting or straining",Pelvic pain in adult females,Worsened by,Lifting or straining,请问您的盆腔疼痛是否在举重或用力时加剧？,Does your pelvic pain worsen with lifting or straining?,
"pelvic pain in adult females, worsened by menstrual cycle",Pelvic pain in adult females,Worsened by,Menstrual cycle,请问您的盆腔疼痛是否在月经周期加剧？,Does your pelvic pain worsen during your menstrual cycle?,
"pelvic pain in adult females, worsened by movement or physical activity",Pelvic pain in adult females,Worsened by,Movement or physical activity,请问您的盆腔疼痛是否在运动或体力活动时加剧？,Does your pelvic pain worsen with exercise or physical activity?,
"pelvic pain in adult females, worsened by stress",Pelvic pain in adult females,Worsened by,Stress,请问您的盆腔疼痛是否在有感到压力时加剧？（这可能与心理因素有关。）,Does your pelvic pain worsen when feeling stressed? (This may be related to psychological factors.),
"pelvic pain in adult females, accompanied by abnormal vaginal bleeding",Pelvic pain in adult females,Accompanied by,Abnormal vaginal bleeding,请问您盆腔疼痛时是否伴有异常的阴道出血？,Do you experience abnormal vaginal bleeding with your pelvic pain?,
"pelvic pain in adult females, accompanied by black or bloody stools",Pelvic pain in adult females,Accompanied by,Black or bloody stools,请问您盆腔疼痛时是否否伴有黑色或带血的大便？,Do you have black or bloody stools with your pelvic pain?,
"pelvic pain in adult females, accompanied by bloating, constipation or diarrhea",Pelvic pain in adult females,Accompanied by,"Bloating, constipation or diarrhea",请问您的盆腔疼痛是否伴有腹胀、便秘或腹泻？,"Is your pelvic pain accompanied by bloating, constipation, or diarrhea?",
"pelvic pain in adult females, accompanied by bumps, blisters or open sores",Pelvic pain in adult females,Accompanied by,"Bumps, blisters or open sores",请问您的盆腔疼痛是否伴有肿块、水泡或开放性溃疡？,"Is your pelvic pain accompanied by lumps, blisters, or open sores?",
"pelvic pain in adult females, accompanied by change in vaginal discharge",Pelvic pain in adult females,Accompanied by,Change in vaginal discharge,请问您的盆腔疼痛是否伴有阴道分泌物改变？,Is your pelvic pain accompanied by changes in vaginal discharge?,
"pelvic pain in adult females, accompanied by excessive menstrual bleeding",Pelvic pain in adult females,Accompanied by,Excessive menstrual bleeding,请问您的盆腔疼痛是否伴有过度的月经出血？,Is your pelvic pain accompanied by excessive menstrual bleeding?,
"pelvic pain in adult females, accompanied by fever",Pelvic pain in adult females,Accompanied by,Fever,请问您的盆腔疼痛是否伴有发热？,Is your pelvic pain accompanied by fever?,
"pelvic pain in adult females, accompanied by frequent urination or urge to urinate",Pelvic pain in adult females,Accompanied by,Frequent urination or urge to urinate,请问您的盆腔疼痛是否伴有频繁尿意或急需排尿？,Is your pelvic pain accompanied by frequent urination or an urgent need to urinate?,
"pelvic pain in adult females, accompanied by increased waist size",Pelvic pain in adult females,Accompanied by,Increased waist size,请问您的盆腔疼痛是否伴有腰围增大？,Is your pelvic pain accompanied by an increase in waist size?,
"pelvic pain in adult females, accompanied by irregular periods",Pelvic pain in adult females,Accompanied by,Irregular periods,请问您的盆腔疼痛是否伴有经期不规律？,Is your pelvic pain accompanied by irregular menstruation?,
"pelvic pain in adult females, accompanied by lightheadedness or fainting",Pelvic pain in adult females,Accompanied by,Lightheadedness or fainting,请问您的盆腔疼痛是否伴有头晕或晕厥？,Is your pelvic pain accompanied by dizziness or fainting?,
"pelvic pain in adult females, accompanied by low back pain",Pelvic pain in adult females,Accompanied by,Low back pain,请问您的盆腔疼痛是否伴有腰背疼痛？,Is your pelvic pain accompanied by lower back pain?,
"pelvic pain in adult females, accompanied by mood swings",Pelvic pain in adult females,Accompanied by,Mood swings,请问您的盆腔疼痛是否伴有情绪波动？,Is your pelvic pain accompanied by mood swings?,
"pelvic pain in adult females, accompanied by nausea or vomiting",Pelvic pain in adult females,Accompanied by,Nausea or vomiting,请问您的盆腔疼痛是否伴有恶心或呕吐？,Is your pelvic pain accompanied by nausea or vomiting?,
"pelvic pain in adult females, accompanied by painful bowel movements",Pelvic pain in adult females,Accompanied by,Painful bowel movements,请问您的盆腔疼痛是否伴有痛苦的排便？,Is your pelvic pain accompanied by painful bowel movements?,
"pelvic pain in adult females, accompanied by painful or difficult urination",Pelvic pain in adult females,Accompanied by,Painful or difficult urination,请问您的盆腔疼痛是否伴有痛苦或困难的排尿？,Is your pelvic pain accompanied by painful or difficult urination?,
"pelvic pain in adult females, accompanied by painful sexual intercourse",Pelvic pain in adult females,Accompanied by,Painful sexual intercourse,请问您的盆腔疼痛是否伴有性交疼痛？,Is your pelvic pain accompanied by pain during intercourse?,
"pelvic pain in adult females, accompanied by skin rash",Pelvic pain in adult females,Accompanied by,Skin rash,请问您的盆腔疼痛是否伴有皮疹？,Is your pelvic pain accompanied by a rash?,
"pelvic pain in adult females, accompanied by unintended weight loss",Pelvic pain in adult females,Accompanied by,Unintended weight loss,请问您的盆腔疼痛是否伴有非自愿的体重减轻？,Is your pelvic pain accompanied by involuntary weight loss?,
"pelvic pain in adult females, accompanied by weight gain",Pelvic pain in adult females,Accompanied by,Weight gain,请问您的盆腔疼痛是否伴有体重增加？,Is your pelvic pain accompanied by weight gain?,
"pelvic pain in adult males, pain best described as discomfort, pressure or pain in lower abdomen or groin",Pelvic pain in adult males,Pain best described as,"Discomfort, pressure or pain in lower abdomen or groin",请问您有下腹部或腹股沟的不适、压力或疼痛吗？,"Do you have discomfort, pressure, or pain in your lower abdomen or groin?",
